official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149829640,66011934620000,1,1,0,0,0,1,1,500000.0,2022-12-05,2022-12-05,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149822934,56427380510000,1,1,0,0,0,1,1,500000.0,2022-06-20,2022-06-20,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149779117,55678685170000,1,1,0,0,0,1,1,500000.0,2018-08-06,2018-08-06,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149734102,46803214760000,14,6,1,3,0,2,1,1117278.0,2008-05-01,2025-04-10,8,residential_growth,major_growth,98.0,59.36,completed_historical
CFS-PARCEL-0149753305,55161798440000,7,7,0,0,0,5,2,1826046.0,2013-02-26,2023-08-14,3,residential_growth,major_growth,98.0,85.14,active_construction
CFS-PARCEL-0149735683,46806981410000,1,1,0,0,0,1,1,643687.0,2022-03-08,2022-03-08,1,residential_growth,major_growth,98.0,98.0,no_recent_activity
CFS-PARCEL-0149807772,56212578440000,1,0,0,0,1,1,1,515000.0,2024-05-31,2024-05-31,1,demolition,redevelopment_signal,98.0,98.0,recently_issued
CFS-PARCEL-0149736835,46705588120000,55,15,22,8,1,12,2,3754318.1,2009-08-01,2025-01-16,14,commercial_activity,major_growth,96.0,61.35,completed_historical
CFS-PARCEL-0149773228,55435780680000,45,19,8,1,8,18,11,20566707.72,2010-06-15,2021-10-14,11,residential_growth,major_growth,96.0,65.71,no_recent_activity
CFS-PARCEL-0149781836,56003687430000,42,37,3,0,0,22,19,24143540.0,2015-04-02,2016-09-09,2,residential_growth,major_growth,96.0,81.81,no_recent_activity
CFS-PARCEL-0149749102,55078596960000,40,9,11,5,1,14,5,9904118.81,2017-02-22,2025-12-12,8,commercial_activity,major_growth,96.0,57.33,active_construction
CFS-PARCEL-0149741775,46919268030000,39,34,1,0,0,11,9,13574065.0,2018-06-04,2021-01-06,3,residential_growth,major_growth,96.0,70.41,no_recent_activity
CFS-PARCEL-0149751728,55092173920000,32,17,2,0,0,17,15,27707210.0,2021-05-28,2022-07-15,2,residential_growth,major_growth,96.0,66.25,no_recent_activity
CFS-PARCEL-0149751729,55092173920000,32,17,2,0,0,17,15,27707210.0,2021-05-28,2022-07-15,2,residential_growth,major_growth,96.0,66.25,no_recent_activity
CFS-PARCEL-0149783785,56010286760000,30,5,16,4,0,9,2,2553350.0,2017-08-16,2024-05-14,4,commercial_activity,moderate_activity,96.0,63.6,active_construction
CFS-PARCEL-0149729544,46705666960000,29,29,0,0,0,17,16,17031000.0,2016-09-29,2017-05-15,2,residential_growth,major_growth,96.0,86.83,no_recent_activity
CFS-PARCEL-0149736197,46810179110000,29,13,8,2,2,5,1,2415548.0,2007-08-01,2025-11-21,15,residential_growth,major_growth,96.0,63.66,recently_issued
CFS-PARCEL-0149726376,45894448210000,29,12,1,8,0,2,1,1178560.0,2007-01-01,2024-01-18,13,residential_growth,major_growth,96.0,53.1,recently_issued
CFS-PARCEL-0149726377,45894448210000,29,12,1,8,0,2,1,1178560.0,2007-01-01,2024-01-18,13,residential_growth,major_growth,96.0,53.1,recently_issued
CFS-PARCEL-0149791512,56114740970000,28,2,1,1,0,1,1,2212000.0,2003-05-01,2018-10-04,2,administrative_or_unknown,unknown,96.0,17.32,no_recent_activity
