source_permit_id,permit_type_class,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_confidence,match_warning
BU2026-00390,residential_new_construction,2026-02-12,"10213 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00391,residential_new_construction,2026-02-12,"10211 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00393,residential_new_construction,2026-02-12,"10209 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00371,residential_new_construction,2026-02-11,"323 WINDY RUSH RD, AC# KANNAPOLIS, NC 28081",56124995990000,56124995990000,unmatched,no matching parcels_enriched.pin14
BU2026-00346,residential_new_construction,2026-02-09,"1231 WHITE BIRCH AVE NW, AC# HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00349,residential_new_construction,2026-02-09,"1233 WHITE BIRCH AVE NW, AC# HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00351,residential_new_construction,2026-02-09,"1235 WHITE BIRCH AVE NW HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00225,residential_new_construction,2026-01-28,"302 SYCAMORE AVE SW CONCORD, NC 28025",56207405110000,56207405110000,unmatched,no matching parcels_enriched.pin14
BU2026-00227,residential_new_construction,2026-01-28,"160 BROOKWOOD AVE NE, AC# CONCORD, NC 28025",56217335130000,56217335130000,unmatched,no matching parcels_enriched.pin14
BU2026-00201,commercial_new_construction,2026-01-23,"2341 COLDWATER RIDGE DR, AC# KANNAPOLIS, NC 28083",56225889290000,56225889290000,unmatched,no matching parcels_enriched.pin14
BU2026-00182,residential_new_construction,2026-01-22,"13526 STERLING CIR MIDLAND, NC 28107",55444391690000,55444391690000,unmatched,no matching parcels_enriched.pin14
BU2026-00174,residential_new_construction,2026-01-21,"214 ARIZONA PL NW, LT# CONCORD, NC 28027",56012172600000,56012172600000,unmatched,no matching parcels_enriched.pin14
BU2026-00119,residential_new_construction,2026-01-14,"1836 HUNTLEY RIDGE CONCORD, NC 28025",55158486630000,55158486630000,unmatched,no matching parcels_enriched.pin14
BU2026-00065,residential_new_construction,2026-01-08,"2573 RED HILL ST NW, AC# CONCORD, NC 28027",56115291260000,56115291260000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03724,residential_new_construction,2025-12-16,"8167 THORNTON ST, AC# LOCUST, NC 28097",55762699720000,55762699720000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03727,residential_new_construction,2025-12-16,"220 LINCOLN ST SW, LT# CONCORD, NC 28025",56209530020000,56209530020000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03711,residential_new_construction,2025-12-12,"1250 S SKYLAND DR, AC# MT PLEASANT, NC 28124",56608362250000,56608362250000,unmatched,no matching parcels_enriched.pin14
BU2025-03684,residential_new_construction,2025-12-11,"9101 ROBINSON CHURCH RD, AC# HARRISBURG, NC 28075",55068379170000,55068379170000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03685,residential_new_construction,2025-12-11,"587 CENTRAL DR NW CONCORD, NC 28027",56210076780000,56210076780000,unmatched,no matching parcels_enriched.pin14
BU2025-03665,residential_new_construction,2025-12-10,"2306 KANNAPOLIS HWY, SUITE# B CONCORD, NC 28027",56129051040000,56129051040000,unmatched,no matching parcels_enriched.pin14
BU2025-03667,residential_new_construction,2025-12-10,"2306 KANNAPOLIS HWY, UNIT# C CONCORD, NC 28027",56129051040000,56129051040000,unmatched,no matching parcels_enriched.pin14
BU2025-03661,residential_new_construction,2025-12-09,"2306 KANNAPOLIS HWY A CONCORD, NC 28027",56129051040000,56129051040000,unmatched,no matching parcels_enriched.pin14
BU2025-03638,residential_new_construction,2025-12-05,"1001 RHODE ISLAND AVE A KANNAPOLIS, NC 28083",56231065420000,56231065420000,unmatched,no matching parcels_enriched.pin14
BU2025-03524,commercial_new_construction,2025-11-21,"505 MILTON L TAYLOR ST, AC# KANNAPOLIS, NC 28083",56138856170000,56138856170000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03343,residential_new_construction,2025-11-04,"262 CORRIE ANN Dr DR SW CONCORD, NC 28027",55095151460000,55095151460000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03324,residential_new_construction,2025-11-03,"1175 ROSEWOOD AVE, AC# KANNAPOLIS, NC 28081",56133267820000,56133267820000,unmatched,no matching parcels_enriched.pin14
BU2025-03193,residential_new_construction,2025-10-22,"2801 PENNSYLVANIA AVE, LT# KANNAPOLIS, NC 28083",56221552760000,56221552760000,unmatched,no matching parcels_enriched.pin14
BU2025-03196,residential_new_construction,2025-10-22,"9715 FLOWES STORE RD, AC# MIDLAND, NC 28107",55360153390000,55360153390000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03156,residential_new_construction,2025-10-17,"1219 OAKWOOD AVE KANNAPOLIS, NC 28081",56132260090000,56132260090000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03123,commercial_new_construction,2025-10-14,"1015 VINEHAVEN DR NE CONCORD, NC 28025",56228617750000,56228617750000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03061,commercial_new_construction,2025-10-09,"355 CLIFFWOOD ST NW B CONCORD, NC 28027",56108845030000,56108845030000,unmatched,no matching parcels_enriched.pin14
BU2025-03064,commercial_new_construction,2025-10-09,"355 CLIFFWOOD ST NW C CONCORD, NC 28027",56108845030000,56108845030000,unmatched,no matching parcels_enriched.pin14
BU2025-03084,residential_new_construction,2025-10-09,"248 CORRIE ANN Dr DR SW CONCORD, NC 28027",55095154640000,55095154640000,ambiguous,ambiguous pin14 matched multiple parcels
BU2025-03086,residential_new_construction,2025-10-09,"355 CLIFFWOOD ST NW, UT# D CONCORD, NC 28027",56108845030000,56108845030000,unmatched,no matching parcels_enriched.pin14
