official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149829169,56833684880000,3,2,0,0,0,2,1,950000.0,2022-11-14,2023-09-15,2,residential_growth,major_growth,100.0,66.0,completed_historical
CFS-PARCEL-0149829170,56833684880000,3,2,0,0,0,2,1,950000.0,2022-11-14,2023-09-15,2,residential_growth,major_growth,100.0,66.0,completed_historical
CFS-PARCEL-0149829193,56833684880000,3,2,0,0,0,2,1,950000.0,2022-11-14,2023-09-15,2,residential_growth,major_growth,100.0,66.0,completed_historical
CFS-PARCEL-0149829194,56833684880000,3,2,0,0,0,2,1,950000.0,2022-11-14,2023-09-15,2,residential_growth,major_growth,100.0,66.0,completed_historical
CFS-PARCEL-0149829195,56833684880000,3,2,0,0,0,2,1,950000.0,2022-11-14,2023-09-15,2,residential_growth,major_growth,100.0,66.0,completed_historical
CFS-PARCEL-0149780446,55386174910000,3,1,0,0,1,1,1,915162.0,2020-08-03,2025-03-04,3,residential_growth,major_growth,100.0,60.67,completed_historical
CFS-PARCEL-0149828084,56719798430000,3,3,0,0,0,1,1,832713.0,2020-11-25,2025-03-13,3,residential_growth,moderate_activity,100.0,82.67,completed_historical
CFS-PARCEL-0149739283,46814784290000,3,2,1,0,0,2,1,810668.0,2025-02-19,2025-09-12,1,residential_growth,major_growth,100.0,89.33,active_construction
CFS-PARCEL-0149829711,56824737010000,3,3,0,0,0,2,0,740000.0,2023-06-09,2025-05-07,2,residential_growth,major_growth,100.0,95.33,active_construction
CFS-PARCEL-0149751853,46936080520000,3,3,0,0,0,1,1,739200.0,2023-11-29,2024-01-12,2,residential_growth,moderate_activity,100.0,85.33,recently_issued
CFS-PARCEL-0149784916,55493918830000,3,2,0,0,0,1,1,710000.0,2007-03-01,2024-11-08,3,residential_growth,major_growth,100.0,58.0,completed_historical
CFS-PARCEL-0149815912,56215292070000,3,1,2,0,0,1,1,704100.0,2019-09-26,2025-02-06,3,commercial_activity,moderate_activity,100.0,78.67,completed_historical
CFS-PARCEL-0149824456,56522160720000,3,3,0,0,0,2,1,701500.0,2024-10-28,2025-03-06,2,residential_growth,major_growth,100.0,84.67,recently_issued
CFS-PARCEL-0149743418,46936210330000,3,3,0,0,0,3,1,700000.0,2023-04-27,2023-08-14,1,residential_growth,major_growth,100.0,93.33,active_construction
CFS-PARCEL-0149731696,46723551180000,3,1,0,0,0,2,0,669710.0,2020-06-09,2022-05-03,2,administrative_or_unknown,unknown,100.0,44.67,active_construction
CFS-PARCEL-0149774991,55469070630000,3,3,0,0,0,2,1,661100.0,2022-09-26,2024-08-28,2,residential_growth,major_growth,100.0,86.0,completed_historical
CFS-PARCEL-0149732128,46725625360000,3,3,0,0,0,2,0,568000.0,2022-02-10,2023-02-02,2,residential_growth,major_growth,100.0,89.33,active_construction
CFS-PARCEL-0149774733,55469174100000,3,1,1,1,0,1,1,553000.0,2021-03-23,2022-06-22,2,residential_growth,major_growth,100.0,77.67,no_recent_activity
CFS-PARCEL-0149778018,55585532770000,3,3,0,0,0,3,0,548000.0,2022-07-14,2025-09-19,2,residential_growth,major_growth,100.0,94.67,active_construction
CFS-PARCEL-0149830030,56716851550000,3,3,0,0,0,1,1,546688.0,2024-02-26,2024-12-18,1,residential_growth,moderate_activity,100.0,77.33,completed_historical
CFS-PARCEL-0149827797,56505506180000,3,3,0,0,0,2,0,545000.0,2024-05-30,2025-10-16,2,residential_growth,major_growth,100.0,88.67,active_construction
CFS-PARCEL-0149825131,56302349940000,3,2,0,0,1,1,1,539140.0,2024-07-15,2025-11-04,2,residential_growth,major_growth,100.0,79.33,active_construction
CFS-PARCEL-0149745118,55060572590000,3,3,0,0,0,3,0,522400.0,2024-07-08,2024-07-08,1,residential_growth,major_growth,100.0,98.67,active_construction
CFS-PARCEL-0149823596,56420137740000,3,2,0,1,0,1,0,501000.0,2014-08-05,2025-03-06,3,residential_growth,major_growth,100.0,82.33,active_construction
CFS-PARCEL-0149803217,56203156110000,3,2,0,0,1,2,0,493300.0,2022-01-25,2022-07-28,1,residential_growth,major_growth,100.0,82.67,active_construction
