source_permit_id,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_warning
BU2025-01320,2025-05-02,"2680 TRAWLER WAY KANNAPOLIS, NC 28083",145 253,145253,invalid or placeholder parcel number
BU2025-01288,2025-05-01,"1325 WINGED WAY KANNAPOLIS, NC 28083",158B003,158003,invalid or placeholder parcel number
BU2025-01302,2025-05-01,"2695 TRAWLER WAY KANNAPOLIS, NC 28083",145 246,145246,invalid or placeholder parcel number
BU2025-01303,2025-05-01,"475 CONTENTMENT CT KANNAPOLIS, NC 28081",152A016,152016,invalid or placeholder parcel number
BU2025-01272,2025-04-30,"1019 E 10TH ST KANNAPOLIS, NC 28083",151 425,151425,invalid or placeholder parcel number
BU2025-01275,2025-04-30,"470 CONTENTMENT CT KANNAPOLIS, NC 28081",152A014,152014,invalid or placeholder parcel number
BU2025-01278,2025-04-30,"1335 WINGED WAY KANNAPOLIS, NC 28083",158B004,158004,invalid or placeholder parcel number
BU2025-01279,2025-04-30,"1560 SOLITUDE CT KANNAPOLIS, NC 28081",152A011,152011,invalid or placeholder parcel number
BU2025-01165,2025-04-17,"2685 TRAWLER WAY KANNAPOLIS, NC 28083",145 245,145245,invalid or placeholder parcel number
BU2025-01025,2025-04-08,"465 CONTENTMENT CT KANNAPOLIS, NC 28081",152A017,152017,invalid or placeholder parcel number
BU2025-01010,2025-04-07,"460 CONTENTMENT CT KANNAPOLIS, NC 28081",152A013,152013,invalid or placeholder parcel number
