official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149807352,56212604300000,3,1,1,0,1,1,1,1149030.0,2021-03-24,2021-08-17,1,residential_growth,major_growth,96.0,70.67,no_recent_activity
CFS-PARCEL-0149806945,56210488490000,3,1,1,0,1,1,1,723455.0,2014-05-29,2025-10-15,2,residential_growth,major_growth,96.0,72.67,completed_historical
CFS-PARCEL-0149743240,46945264380000,3,2,0,0,1,1,1,690000.0,2020-04-08,2021-03-16,2,residential_growth,major_growth,96.0,72.67,no_recent_activity
CFS-PARCEL-0149743015,46934277180000,3,1,0,2,0,1,1,661144.0,2019-11-12,2023-10-19,2,redevelopment_signal,redevelopment_signal,96.0,84.67,active_construction
CFS-PARCEL-0149819185,56310320950000,3,1,1,0,1,1,0,394800.0,2006-12-01,2024-03-08,3,commercial_activity,major_growth,96.0,77.33,active_construction
CFS-PARCEL-0149765770,55295755620000,3,2,0,0,1,2,0,369500.0,2022-06-24,2022-09-20,1,residential_growth,major_growth,96.0,85.33,no_recent_activity
CFS-PARCEL-0149740582,46833760100000,3,2,0,0,1,2,0,369020.0,2017-10-16,2022-09-16,2,residential_growth,major_growth,96.0,78.67,no_recent_activity
CFS-PARCEL-0149816301,56241122120000,3,0,1,2,0,1,0,267000.0,2022-10-27,2024-03-22,2,redevelopment_signal,redevelopment_signal,96.0,84.0,active_construction
CFS-PARCEL-0149816302,56241122120000,3,0,1,2,0,1,0,267000.0,2022-10-27,2024-03-22,2,redevelopment_signal,redevelopment_signal,96.0,84.0,active_construction
CFS-PARCEL-0149739485,46815755010000,3,2,0,1,0,1,0,243060.0,2023-09-07,2024-11-22,2,residential_growth,major_growth,96.0,81.67,active_construction
CFS-PARCEL-0149807649,56210076860000,3,1,0,0,2,1,0,150000.0,2025-04-29,2025-12-11,1,demolition,redevelopment_signal,96.0,70.0,recently_issued
CFS-PARCEL-0149825439,56304051220000,3,1,1,1,0,1,0,138000.0,2023-11-17,2024-07-19,2,commercial_activity,major_growth,96.0,83.67,active_construction
CFS-PARCEL-0149808087,56212008910000,3,1,0,0,1,1,0,100000.0,2010-08-11,2023-03-20,2,residential_growth,major_growth,96.0,52.67,recently_issued
CFS-PARCEL-0149805109,56206534040000,3,1,0,0,2,1,0,100000.0,2010-07-07,2023-02-14,2,demolition,redevelopment_signal,96.0,68.0,recently_issued
CFS-PARCEL-0149815614,56240232950000,2,0,1,0,1,1,1,1038379.0,2015-10-13,2015-11-20,1,commercial_activity,major_growth,96.0,79.0,no_recent_activity
