permit_id,permit_number,parcel_number,permit_date,activity_year,permit_type,work_type,permit_status,permit_amount,permit_segment,permit_growth_signal,development_domain,permit_value_class,permit_status_stage,permit_signal_score,is_map_relevant,is_future_prediction_relevant,classification_reason
5494257,BU2025-02532,56119949360000,2025-08-25,2025,new_construction,residential_new,inspections,175000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5295378,BU2025-02527,56105979470000,2025-08-22,2025,new_construction,residential_new,inspections,291300.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5451298,BU2025-02488,55164189400000,2025-08-22,2025,new_construction,residential_new,inspections,270389.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5326196,BU2025-02509,55097668820000,2025-08-21,2025,upfit,commercial_upfit,inspections,224372.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5326197,BU2025-02511,55097668820000,2025-08-21,2025,upfit,commercial_upfit,inspections,224372.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5326198,BU2025-02517,55097668820000,2025-08-21,2025,upfit,commercial_upfit,inspections,199886.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5472787,BU2025-02513,56311434620000,2025-08-21,2025,new_construction,residential_new,inspections,495625.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5271822,BU2025-02134,56208419770000,2025-08-20,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5271828,BU2025-02133,56208510700000,2025-08-20,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5320747,BU2025-02479,56017349760000,2025-08-20,2025,upfit,commercial_upfit,inspections,1022419.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5495674,BU2025-02496,46821765900000,2025-08-20,2025,new_construction,residential_new,inspections,850000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5316775,BU2025-02481,56120806990000,2025-08-19,2025,new_construction,residential_new,inspections,300000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5320741,BU2025-02473,56017349760000,2025-08-19,2025,upfit,commercial_upfit,inspections,1022419.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5320742,BU2025-02474,56017349760000,2025-08-19,2025,upfit,commercial_upfit,co_issued,1022419.0,commercial_activity,major_growth,commercial,major_value,completed,100.0,True,True,major_new_growth
5320743,BU2025-02475,56017349760000,2025-08-19,2025,upfit,commercial_upfit,inspections,1022419.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5320744,BU2025-02476,56017349760000,2025-08-19,2025,upfit,commercial_upfit,inspections,1022419.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5320745,BU2025-02477,56017349760000,2025-08-19,2025,upfit,commercial_upfit,inspections,1022419.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5320746,BU2025-02478,56017349760000,2025-08-19,2025,upfit,commercial_upfit,inspections,1022419.0,commercial_activity,major_growth,commercial,major_value,active_construction,100.0,True,True,major_new_growth
5497934,2025-02368,45993155790000,2025-08-19,2025,commercial_new_construction,commercial_new,issued,6550449.0,residential_growth,major_growth,residential,major_value,issued_or_starting,100.0,True,True,major_new_growth
5497936,BU2025-02368,45993155790000,2025-08-19,2025,commercial_new_construction,commercial_new,inspections,6550449.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5493533,BU2025-02452,56209706190000,2025-08-18,2025,upfit,commercial_upfit,inspections,175000.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5508230,BU2025-02419,56830850680000,2025-08-18,2025,residential_manufactored_home,residential_mobile,inspections,200000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5268005,BU2025-02443,56207387150000,2025-08-15,2025,new_construction,residential_new,inspections,140000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5273143,BU2025-02433,56702684280000,2025-08-15,2025,new_construction,,inspections,420000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5293284,BU2025-02450,56703811540000,2025-08-15,2025,commercial_new_construction,commercial_new,inspections,162500.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5477187,BU2025-02445,56300587790000,2025-08-15,2025,new_construction,residential_new,inspections,400000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507981,BU2025-02113,56208212260000,2025-08-14,2025,commercial_new_construction,commercial_new,inspections,441780.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507982,BU2025-02112,56208212260000,2025-08-14,2025,commercial_new_construction,commercial_new,inspections,378000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5507983,BU2025-02101,56208212260000,2025-08-14,2025,commercial_new_construction,commercial_new,inspections,105300.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5300983,BU2025-02416,56102182090000,2025-08-13,2025,upfit,commercial_upfit,closed,1861055.0,commercial_activity,major_growth,commercial,major_value,completed,100.0,True,True,major_new_growth
5285933,2025-02404,46724305650000,2025-08-12,2025,new_construction,residential_new,inspections,875000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5285936,BU2025-02404,46724305650000,2025-08-12,2025,new_construction,residential_new,inspections,875000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5476864,BU2025-02408,56010135370000,2025-08-12,2025,upfit,commercial_upfit,inspections,363000.0,commercial_activity,major_growth,commercial,high_value,active_construction,100.0,True,True,major_new_growth
5495784,BU2025-02402,55299077890000,2025-08-12,2025,new_construction,residential_new,inspections,550000.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5489414,BU2025-02267,46817221670000,2025-08-07,2025,new_construction,residential_new,inspections,240000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5505048,BU2025-02352,55167831540000,2025-08-05,2025,new_construction,residential_new,inspections,450000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5320853,BU2025-02326,46723275510000,2025-08-04,2025,new_construction,residential_new,inspections,484000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5479264,BU2025-02327,55391235620000,2025-08-04,2025,commercial_new_construction,commercial_new,issued,653821.0,residential_growth,major_growth,residential,major_value,issued_or_starting,100.0,True,True,major_new_growth
5480330,BU2025-02320,56129532860000,2025-08-04,2025,new_construction,residential_new,inspections,112777.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5480332,BU2025-02321,56129542070000,2025-08-04,2025,new_construction,residential_new,inspections,112777.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5480338,BU2025-02323,56129542390000,2025-08-04,2025,new_construction,residential_new,inspections,112777.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5498213,BU2025-02318,56319123610000,2025-08-01,2025,new_construction,residential_new,inspections,125550.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
