activity_year,permit_segment,permit_growth_signal,permit_count,map_relevant_count,future_prediction_relevant_count,total_permit_amount,avg_permit_signal_score
2020,residential_growth,major_growth,1899,1899,1899,490129903.07,84.03
2020,residential_growth,moderate_activity,679,679,679,17921602.17,64.1
2021,accessory_or_misc,minor_activity,333,17,0,37894966.7,31.56
2021,administrative_or_unknown,unknown,269,0,0,48554468.0,12.19
2021,commercial_activity,major_growth,52,52,52,70583014.25,86.88
2021,commercial_activity,moderate_activity,159,159,159,1376158.3,63.13
2021,demolition,redevelopment_signal,113,113,113,5545211.37,58.28
2021,industrial_activity,moderate_activity,2,2,2,16000.0,66.0
2021,institutional_activity,major_growth,1,1,1,118004.0,76.0
2021,institutional_activity,moderate_activity,1,1,1,,58.0
2021,minor_maintenance,minor_activity,290,22,0,11010223.53,25.54
2021,redevelopment_signal,redevelopment_signal,412,412,412,14783157.16,66.26
2021,residential_growth,major_growth,1889,1889,1889,377179050.93,85.14
2021,residential_growth,moderate_activity,783,783,783,19642933.68,63.74
2022,accessory_or_misc,minor_activity,82,10,0,5125036.0,34.17
2022,administrative_or_unknown,unknown,80,0,0,23330009.39,14.0
2022,commercial_activity,major_growth,99,99,99,65541909.88,95.23
2022,commercial_activity,moderate_activity,202,202,202,2677919.94,71.03
2022,demolition,redevelopment_signal,103,103,103,3459322.35,65.01
2022,minor_maintenance,minor_activity,71,5,0,1819810.79,25.38
2022,redevelopment_signal,redevelopment_signal,661,661,661,22011496.26,72.64
2022,residential_growth,major_growth,1826,1826,1826,755018381.0,90.66
2022,residential_growth,moderate_activity,1078,1078,1078,27473259.91,71.9
2023,accessory_or_misc,minor_activity,26,1,0,389246.9,29.23
2023,administrative_or_unknown,unknown,32,0,0,4697500.0,13.44
2023,commercial_activity,major_growth,146,146,146,311173029.15,96.03
2023,commercial_activity,moderate_activity,191,191,191,2179198.18,72.12
2023,demolition,redevelopment_signal,106,106,106,4982102.5,67.91
2023,minor_maintenance,minor_activity,26,4,0,824382.2,26.15
2023,redevelopment_signal,redevelopment_signal,596,596,596,16723162.79,74.38
2023,residential_growth,major_growth,2036,2036,2036,2019398288.23,93.47
2023,residential_growth,moderate_activity,885,885,885,23243267.75,74.01
2024,accessory_or_misc,minor_activity,9,0,0,140800.0,33.33
2024,administrative_or_unknown,unknown,25,0,0,11367781.0,16.16
2024,commercial_activity,major_growth,192,192,192,391880798.81,95.72
2024,commercial_activity,moderate_activity,180,180,180,1947624.7,71.9
2024,demolition,redevelopment_signal,130,130,130,12804232.06,66.14
2024,minor_maintenance,minor_activity,15,0,0,124205.0,23.33
2024,redevelopment_signal,redevelopment_signal,669,669,669,16074941.27,74.58
2024,residential_growth,major_growth,2121,2121,2121,599473231.79,93.41
2024,residential_growth,moderate_activity,827,827,827,22356767.67,74.44
2025,accessory_or_misc,minor_activity,1,0,0,,38.0
2025,administrative_or_unknown,unknown,12,0,0,19800.0,15.17
2025,commercial_activity,major_growth,160,160,160,147915040.8,96.49
2025,commercial_activity,moderate_activity,216,216,216,3347268.73,71.02
2025,demolition,redevelopment_signal,104,104,104,4938449.16,65.81
2025,minor_maintenance,minor_activity,2,0,0,76700.0,32.0
2025,redevelopment_signal,redevelopment_signal,737,737,737,19878898.0,72.18
2025,residential_growth,major_growth,1651,1651,1651,493313911.62,92.67
2025,residential_growth,moderate_activity,759,759,759,20043132.62,71.42
,administrative_or_unknown,unknown,11,0,0,,8.55
,minor_maintenance,minor_activity,1,0,0,5000.0,22.0
,residential_growth,major_growth,14,14,14,244555.89,71.57
