jurisdiction_name,zoning_code_raw,zoning_general_raw,zoning_type_raw,base_district_raw,conditional_raw,zoning_label_normalized,zoning_general_normalized,feature_count,total_area_acres
Kannapolis,PD,,,CD,,PD,unknown,1,131.21
Kannapolis,R18,,,AG,,R18,agricultural,1,36.14
Kannapolis,R18,,,CR,,R18,residential,1,0.12
Kannapolis,R18,,,OI,,R18,office,1,1.93
Kannapolis,R18-CZ,,,AG,,R18-CZ,agricultural,1,1.75
Kannapolis,R18-CZ,,,,,R18-CZ,residential,1,2.68
Kannapolis,R18-CZ,,,RC-CZ,,R18-CZ,residential,1,45.23
Kannapolis,R18-CZ,,,CD,,R18-CZ,residential,1,20.17
Kannapolis,R18-CZ,,,CR,,R18-CZ,residential,1,34.47
Kannapolis,R18-CZ,,,PUD,,R18-CZ,residential,1,64.96
Kannapolis,R18-CZ,,,RM-2,,R18-CZ,residential,1,2.51
Kannapolis,R18-CZ,,,RE,,R18-CZ,residential,1,18.88
Kannapolis,R2,,,C-2,,R2,residential,1,30.15
Kannapolis,R4,,,R4,,R4,residential,1,0.99
Kannapolis,R4,,,CD,,R4,residential,1,1.65
Kannapolis,R4-CZ,,,RM-2,,R4-CZ,residential,1,60.59
Kannapolis,R4-CZ,,,RM-1,,R4-CZ,residential,1,128.41
Kannapolis,R6,,,R6,,R6,residential,1,0.35
Kannapolis,R6-CZ,,,RM-2,,R6-CZ,residential,1,1.13
Kannapolis,R8,,,r8,,R8,residential,1,1.01
Kannapolis,R8,,,I-2,,R8,residential,1,0.63
Kannapolis,R8-CZ,,,RM-1,,R8-CZ,residential,1,10.18
Kannapolis,R8-CZ,,,RV-CZ,,R8-CZ,residential,1,3.92
Locust,OPS,,OPS,,,OPS,unknown,5,1180.15
Locust,CBI,,CBI,,,CBI,unknown,1,16.91
Locust,HC,,HC,,,HC,commercial,1,69.58
Locust,OPS-C,,OPS-C,,,OPS-C,unknown,1,55.54
Midland,AG,,AG,,,AG,agricultural,31,2222.61
Midland,SFR,,SFR,,,SFR,unknown,23,3806.76
Midland,C24/27,,C24/27,,,C24/27,unknown,18,475.51
Midland,IND,,IND,,,IND,industrial,11,514.15
Midland,C601,,C601,,,C601,unknown,4,192.54
Midland,CIV,,CIV,,,CIV,unknown,3,160.09
Midland,OM,,OM,,,OM,unknown,3,41.36
Midland,OMP,,OMP,,,OMP,unknown,3,18.69
Midland,R/OMT,,R/OMT,,,R/OMT,unknown,3,171.88
Midland,MSP,,MSP,,,MSP,unknown,2,6.15
Midland,R/MST,,R/MST,,,R/MST,unknown,2,35.67
Midland,SFR-CZ,,SFR-CZ,,,SFR-CZ,unknown,2,22.09
