official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,municipal_zoning_dominates_county_overlap,has_nearly_equal_overlap_split,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149730338,149730338,46707910090000,trusted,SKYBROOK,SKYBROOK,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Concord,RV-CD,0.009624,0.990376,high,multi_jurisdiction_assigned,False,False,1,0.285337
CFS-PARCEL-0149820896,149820896,56333925670000,trusted,I-85 AT LANE STREET,QUIKTRIP NO 1044,Kannapolis,,GC,commercial,3,2,0.994854,Kannapolis,AG,0.004459,0.990395,high,multi_jurisdiction_assigned,True,False,2,20.093134
CFS-PARCEL-0149741513,149741513,46914671750000,trusted,ROLLINGWOOD FOREST,ROLLINGWOOD FOREST,Cabarrus County / Unincorporated,,CR,residential,3,3,0.994922,Kannapolis,LI-CZ,0.004483,0.990439,high,multi_jurisdiction_assigned,False,False,2,5.427668
CFS-PARCEL-0149779811,149779811,55760499880000,review,REED GOLD MINE,NO SUBDIVISION,Cabarrus County / Unincorporated,,AO,agricultural,2,2,0.997811,Locust,OPS,0.007361,0.990451,high,multi_jurisdiction_assigned,False,False,1,10.963817
CFS-PARCEL-0149796762,149796762,56048169250000,trusted,PRIVATE ACRES,PRIVATE ACRES,Cabarrus County / Unincorporated,,LDR,residential,2,2,0.995244,Kannapolis,R18,0.004754,0.99049,high,multi_jurisdiction_assigned,False,False,1,0.909698
CFS-PARCEL-0149729452,149729452,46707911620000,trusted,SKYBROOK,SKYBROOK,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Concord,RV-CD,0.009459,0.990541,high,multi_jurisdiction_assigned,False,False,1,0.265426
CFS-PARCEL-0149756193,149756193,55177886340000,review,STOUGH ROAD,,Harrisburg,,EC,industrial,3,2,0.995153,Cabarrus County / Unincorporated,LI,0.004601,0.990552,high,multi_jurisdiction_assigned,True,False,2,6.40341
CFS-PARCEL-0149815611,149815611,56238357870000,review,DALE EARNHARDT BLVD,,Kannapolis,,R4,residential,2,2,0.990791,Concord,RV,0.000195,0.990596,high,multi_jurisdiction_assigned,False,False,1,1.148352
CFS-PARCEL-0149757199,149757199,55182128750000,review,ROBERTA MILLS,,Harrisburg,,RM,residential,4,2,0.994979,Harrisburg,CZ-RL,0.004378,0.990601,high,multi_jurisdiction_assigned,True,False,3,55.538241
CFS-PARCEL-0149759009,149759009,55197119480000,trusted,FRANK LISKE PARK,PARKVIEW,Concord,,RM-2,residential,2,2,0.99061,Cabarrus County / Unincorporated,OI,0.0,0.990609,high,multi_jurisdiction_assigned,True,False,1,0.289599
CFS-PARCEL-0149782756,149782756,55448044240000,review,MIDLAND COMMERCIAL,,Cabarrus County / Unincorporated,,GI,industrial,4,2,0.994571,Midland,R/OMT,0.003956,0.990615,high,multi_jurisdiction_assigned,False,False,3,30.536178
CFS-PARCEL-0149768655,149768655,55375979410000,trusted,ASHEBROOK,ASHEBROOK,Cabarrus County / Unincorporated,,LDR,residential,2,2,1.0,Concord,RC-CD,0.009383,0.990617,high,multi_jurisdiction_assigned,False,False,1,0.231402
CFS-PARCEL-0149753616,149753616,55164310210000,review,STOUGH ROAD,,Harrisburg,,OI,office,3,2,0.99808,Harrisburg,CZ-RM,0.007462,0.990618,high,multi_jurisdiction_assigned,True,False,2,34.156039
CFS-PARCEL-0149730896,149730896,46717282420000,trusted,PARKSIDE AT SKYBROOK N,PARKSIDE AT SKYBROOK NORTH PH 3 MAP 3,Concord,,RV-CU,residential,2,2,0.990648,Cabarrus County / Unincorporated,LDR,2e-06,0.990646,high,multi_jurisdiction_assigned,True,False,1,0.285274
