neighborhood,no_match_count,no_match_area_acres,trusted_count,review_count,avg_area_acres
ROBERTA MILL,5,7.16,2,3,1.433
COPELAND FARM,4,30.08,3,1,7.5212
DEWEESE,4,66.36,3,1,16.5897
HAHN SCOTT RD,4,23.67,3,1,5.9164
ROBINSON CHURCH RD SOUTH,4,19.2,1,3,4.8003
ROWAN COUNTY,4,3.35,0,4,0.8364
MIAMI CHURCH RD,3,58.13,0,3,19.3759
0,2,0.52,0,2,0.2593
A L BROWN HIGH SCHOOL,2,0.68,1,1,0.3415
FOREST PARK ELEMENTARY,2,0.6,2,0,0.2987
HERITAGE OAKS ESTATES,2,4.26,0,2,2.1295
HOLCOMB WOODS PH1 MP5,2,0.4,2,0,0.2015
KANNAPOLIS SUBD SE SEC 5,2,0.34,2,0,0.1679
RICELAND WAY,2,10.0,0,2,5.0006
SHORT STREET AREA,2,0.64,2,0,0.321
THE VILLAS AT WINECOFF PH MAP 2,2,0.67,2,0,0.3371
1-36,1,0.57,1,0,0.5694
84/50,1,0.17,1,0,0.1653
9,1,0.21,1,0,0.2145
AZELEA AVE AREA,1,31.75,1,0,31.7502
BEFORD FARMS,1,0.58,1,0,0.5807
BETHEL ELEMENTARY,1,1.81,0,1,1.8098
BOSTWOOD ESTATES,1,0.0,0,1,0.0
CAROLINA VILLAGE MHP,1,52.13,1,0,52.1251
FALCON CHASE PH 3 MAP 1,1,0.23,1,0,0.2256
FLEETWOOD AVE,1,0.07,1,0,0.0707
FUTURE DEVELOPMENT BEDFORD FARMS,1,0.45,1,0,0.4469
HOWARD PAIGE DUPLEXES,1,0.69,0,1,0.6888
INSPIRED WAY APARTMENTS,1,2.6,1,0,2.5958
LANE ST/I-85,1,0.01,0,1,0.0092
MONFORD AVE,1,4.21,1,0,4.2077
MYERS PARKS,1,1.4,1,0,1.3966
NIGH TOWN,1,0.18,1,0,0.1766
NORTHWEST CABARRUS SCHOOLS,1,15.55,0,1,15.5546
PARK VIEW ESTATES,1,0.29,1,0,0.2898
PARKWOOD WALTER DUPLEXES,1,1.96,0,1,1.9587
PERKINS COVE APARTMENTS,1,1.92,0,1,1.9193
PLEASANT OAKS FINAL PHASE,1,0.24,1,0,0.2407
RECOMB GULLEDGE/PKWD,1,0.17,1,0,0.1682
REED MINE,1,1.05,1,0,1.0463
SILVER MAPLES MHP,1,41.37,1,0,41.3653
SOUTHERN MIDLAND,1,1.48,1,0,1.4781
SPRING STREET APARTMENTS,1,1.52,0,1,1.5206
STALLINGS GLEN,1,0.47,1,0,0.4655
STANLY COUNTY,1,0.05,1,0,0.0459
SUNNYSIDE PARK,1,1.41,0,1,1.4071
THE MILLS,1,0.24,1,0,0.2411
TUCKER CHASE,1,0.1,1,0,0.0992
ZEMOSA AC,1,1.02,1,0,1.0242
