official_parcel_id,objectid_1,pin14,planning_jurisdiction_name,planning_boundary_type,boundary_name,jurisdiction_overlap_count,dominant_jurisdiction_overlap_pct,total_jurisdiction_overlap_pct,jurisdiction_assignment_confidence,has_multiple_jurisdictions,jurisdiction_join_status,parcel_quality_status,nbh_name,subdiv_name,parcel_area_acres_calc
CFS-PARCEL-0149819534,149819534,56308304170000,Concord,etj,City of Concord,1,0.000145,0.000145,low,False,single_boundary_low_confidence,trusted,MYERS PARK,TOWNCREEK SEC 6,1.247057
CFS-PARCEL-0149825296,149825296,56609660120000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.000145,0.000145,low,False,single_boundary_low_confidence,review,MT PLEASANT NORTH,,0.682809
CFS-PARCEL-0149756665,149756665,55181069050000,Harrisburg,etj,Town of Harrisburg,1,0.000147,0.000147,low,False,single_boundary_low_confidence,trusted,PROVIDENCE MANOR,PROVIDENCE MANOR C.O.S,15.95184
CFS-PARCEL-0149825880,149825880,56700644140000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.00015,0.00015,low,False,single_boundary_low_confidence,review,MT PLEASANT NORTH,,0.485255
CFS-PARCEL-0149755551,149755551,55070929580000,Harrisburg,etj,Town of Harrisburg,1,0.000155,0.000155,low,False,single_boundary_low_confidence,trusted,TIMBER FOREST,TIMBER FOREST,1.012889
CFS-PARCEL-0149822334,149822334,56400421880000,Concord,etj,City of Concord,1,0.000161,0.000161,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.44148
CFS-PARCEL-0149826556,149826556,56309481060000,Concord,etj,City of Concord,1,0.000167,0.000167,low,False,single_boundary_low_confidence,trusted,RAMA WOODS,RAMA WOODS,0.39485
CFS-PARCEL-0149819870,149819870,56309882510000,Concord,etj,City of Concord,1,0.00017,0.00017,low,False,single_boundary_low_confidence,review,LAKE LYNN LODGE,,1.086088
CFS-PARCEL-0149826789,149826789,56317668140000,Concord,etj,City of Concord,1,0.000171,0.000171,low,False,single_boundary_low_confidence,review,NEW GILEAD,,33.970824
CFS-PARCEL-0149781012,149781012,55794797910000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.000173,0.000173,low,False,single_boundary_low_confidence,trusted,OLDENBURG,OLDENBURG,0.730287
CFS-PARCEL-0149811950,149811950,56227313060000,Concord,etj,City of Concord,1,0.000174,0.000174,low,False,single_boundary_low_confidence,trusted,BRIDLEWOOD PLACE,OVERBROOK,0.281761
CFS-PARCEL-0149747549,149747549,55070938000000,Harrisburg,etj,Town of Harrisburg,1,0.000179,0.000179,low,False,single_boundary_low_confidence,trusted,TIMBER FOREST,TIMBER FOREST,0.823839
CFS-PARCEL-0149750746,149750746,55089350100000,Harrisburg,etj,Town of Harrisburg,1,0.00018,0.00018,low,False,single_boundary_low_confidence,trusted,YATES MEADOW,YATES MEADOW SUBDIVISION PHASE II MAP III,0.222569
CFS-PARCEL-0149819771,149819771,56309764700000,Concord,etj,City of Concord,1,0.000181,0.000181,low,False,single_boundary_low_confidence,review,LAKE LYNN LODGE,,3.764593
CFS-PARCEL-0149824965,149824965,56609694560000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.000192,0.000192,low,False,single_boundary_low_confidence,review,MT PLEASANT NORTH,,0.488033
CFS-PARCEL-0149818985,149818985,56307500120000,Concord,etj,City of Concord,1,0.000196,0.000196,low,False,single_boundary_low_confidence,trusted,CRESTSIDE,MOUNTAINBROOK,0.592679
CFS-PARCEL-0149744483,149744483,55060975560000,Harrisburg,etj,Town of Harrisburg,1,0.000198,0.000198,low,False,single_boundary_low_confidence,trusted,HUNTWICK,HUNTWICK,1.024571
CFS-PARCEL-0149749777,149749777,55085130860000,Harrisburg,etj,Town of Harrisburg,1,0.000199,0.000199,low,False,single_boundary_low_confidence,trusted,ROCKY RIVER CROSSING,ROCKY RIVER CROSSING,0.445989
