official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,planning_boundary_type,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,has_multiple_zoning,has_multiple_zoning_jurisdictions,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149803885,149803885,56204434980000,review,CABARRUS/MCGILL,,Concord,,,O-I,unknown,O-I,4,1,0.456795,1.0,Concord,I-1,0.452285,0.00451,low,multi_zone_low_confidence,True,False,1,14.021568
CFS-PARCEL-0149768848,149768848,55378690130000,review,FLOWES STORE EAST,,Cabarrus County / Unincorporated,,,AO,agricultural,AO,1,1,0.458276,0.458276,,,,,low,single_zone_low_confidence,False,False,0,2.955674
CFS-PARCEL-0149728888,149728888,158B046,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R4,residential,R4,2,1,0.460081,0.650654,Kannapolis,R4,0.190573,0.269508,low,multi_zone_low_confidence,True,False,0,0.252401
CFS-PARCEL-0149725185,149725185,158B049,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,,,R4,residential,R4,2,1,0.460356,0.645759,Kannapolis,R4,0.185403,0.274952,low,multi_zone_low_confidence,True,False,0,0.248905
CFS-PARCEL-0149800242,149800242,56137680480000,review,NORTH 29A,NO SUBDIVISION,Kannapolis,,,O-I,office,O-I,3,1,0.468152,0.968712,Kannapolis,O-I,0.434427,0.033724,low,multi_zone_low_confidence,True,False,0,0.530983
CFS-PARCEL-0149720491,149720491,145 001,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,R4,residential,R4,1,1,0.471354,0.471354,,,,,low,single_zone_low_confidence,False,False,0,51.345558
CFS-PARCEL-0149799220,149799220,56135571430000,review,NORTH 29A,,Kannapolis,,,GC,commercial,GC,3,1,0.471699,0.986789,Kannapolis,GC,0.383447,0.088251,low,multi_zone_low_confidence,True,False,0,6.142119
CFS-PARCEL-0149782351,149782351,55439672680000,review,MIDLAND COMMERCIAL,,Cabarrus County / Unincorporated,,,CR,residential,CR,6,2,0.472098,0.790194,Midland,IND,0.173877,0.298221,low,multi_jurisdiction_low_confidence,True,True,2,52.786465
CFS-PARCEL-0149814150,149814150,56211011660000,review,CABARRUS/MCGILL,,Concord,,,C-2,unknown,C-2,3,1,0.473466,1.0,Concord,C-2-CU,0.319026,0.154439,low,multi_zone_low_confidence,True,False,0,1.244683
CFS-PARCEL-0149821525,149821525,56233748390000,trusted,N LITTLE TEXAS,CHRUCH OF GOD PROPHECY,Kannapolis,,,R4,residential,R4,1,1,0.475685,0.475685,,,,,low,single_zone_low_confidence,False,False,0,0.026969
CFS-PARCEL-0149810085,149810085,56220308410000,trusted,SOUTH CANNON BLVD,CAROLINA CEMETARY PARK INC,Kannapolis,,,O-I,office,O-I,9,1,0.478704,0.97751,Kannapolis,O-I,0.42096,0.057744,low,multi_zone_low_confidence,True,False,5,66.623986
CFS-PARCEL-0149820193,149820193,56318464740000,review,NEW GILEAD,,Cabarrus County / Unincorporated,Concord,etj,LDR,residential,LDR,3,2,0.48038,0.891345,Concord,RM-1,0.408779,0.0716,low,multi_jurisdiction_low_confidence,True,True,1,76.724655
CFS-PARCEL-0149812481,149812481,56230066860000,review,SOUTH CANNON BLVD,,Kannapolis,,,GC,commercial,GC,2,1,0.488128,0.8836,Kannapolis,GC,0.395472,0.092656,low,multi_zone_low_confidence,True,False,0,3.670995
