official_parcel_id,objectid_1,pin14,dominant_zoning_code,dominant_zoning_general,dominant_zoning_label,zoning_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,zoning_assignment_confidence,has_multiple_zoning,zoning_join_status,parcel_quality_status,parcel_area_acres_calc
CFS-PARCEL-0149750896,149750896,55088225450000,MDR,RESIDENTIAL,MDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.233087
CFS-PARCEL-0149754237,149754237,55165444510000,AO,RESIDENTIAL,AO,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.676663
CFS-PARCEL-0149757939,149757939,55182668760000,MDR,RESIDENTIAL,MDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.254307
CFS-PARCEL-0149758166,149758166,55186604210000,LDR,RESIDENTIAL,LDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,3.043701
CFS-PARCEL-0149761015,149761015,55160879940000,LDR,RESIDENTIAL,LDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.599405
CFS-PARCEL-0149764414,149764414,55287580920000,LDR,RESIDENTIAL,LDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.273327
CFS-PARCEL-0149764480,149764480,55288603290000,LDR,RESIDENTIAL,LDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.320768
CFS-PARCEL-0149764704,149764704,55290395120000,LI,INDUSTRIAL,LI,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.524603
CFS-PARCEL-0149767656,149767656,55342848880000,CR,RESIDENTIAL,CR,1,6e-06,6e-06,low,False,single_zone_low_confidence,review,4.731895
CFS-PARCEL-0149767662,149767662,55344345750000,CR,RESIDENTIAL,CR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,2.820234
CFS-PARCEL-0149768735,149768735,55380723730000,LDR,RESIDENTIAL,LDR,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.692016
CFS-PARCEL-0149779457,149779457,55761672780000,AO,AGRICULTURAL,AO,1,6e-06,6e-06,low,False,single_zone_low_confidence,trusted,0.160978
CFS-PARCEL-0149820811,149820811,56332372290000,AO,AGRICULTURAL,AO,1,6e-06,6e-06,low,False,single_zone_low_confidence,review,0.643318
CFS-PARCEL-0149739804,149739804,46824090120000,AO,AGRICULTURAL,AO,2,7e-06,7e-06,low,True,multi_zone_low_confidence,review,9.897375
CFS-PARCEL-0149735375,149735375,46803153020000,LDR,RESIDENTIAL,LDR,1,7e-06,7e-06,low,False,single_zone_low_confidence,trusted,0.343561
CFS-PARCEL-0149738264,149738264,46814658730000,OI,OFFICE,OI,1,7e-06,7e-06,low,False,single_zone_low_confidence,trusted,0.800696
CFS-PARCEL-0149739380,149739380,46820218260000,CR,RESIDENTIAL,CR,1,7e-06,7e-06,low,False,single_zone_low_confidence,review,3.655007
CFS-PARCEL-0149750579,149750579,55088245480000,MDR,RESIDENTIAL,MDR,1,7e-06,7e-06,low,False,single_zone_low_confidence,trusted,0.233886
CFS-PARCEL-0149771294,149771294,55392078490000,MDR,RESIDENTIAL,MDR,1,7e-06,7e-06,low,False,single_zone_low_confidence,trusted,0.112572
CFS-PARCEL-0149771577,149771577,55392068620000,MDR,RESIDENTIAL,MDR,1,7e-06,7e-06,low,False,single_zone_low_confidence,trusted,0.132016
CFS-PARCEL-0149776661,149776661,55531933240000,CR,RESIDENTIAL,CR,1,7e-06,7e-06,low,False,single_zone_low_confidence,review,0.291031
CFS-PARCEL-0149824464,149824464,56604773070000,CR,RESIDENTIAL,CR,1,7e-06,7e-06,low,False,single_zone_low_confidence,review,1.49936
CFS-PARCEL-0149824465,149824465,56604773070000,CR,RESIDENTIAL,CR,1,7e-06,7e-06,low,False,single_zone_low_confidence,review,1.49936
CFS-PARCEL-0149828063,149828063,56717295970000,AO,AGRICULTURAL,AO,1,7e-06,7e-06,low,False,single_zone_low_confidence,review,1.028188
CFS-PARCEL-0149753754,149753754,55164557040000,LDR,RESIDENTIAL,LDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.162657
CFS-PARCEL-0149754170,149754170,55164537910000,LDR,RESIDENTIAL,LDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.161576
CFS-PARCEL-0149755112,149755112,55172145850000,LDR,RESIDENTIAL,LDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,review,81.777087
CFS-PARCEL-0149756628,149756628,55180752840000,MDR,RESIDENTIAL,MDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.499028
CFS-PARCEL-0149757308,149757308,55183432930000,LDR,RESIDENTIAL,LDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,review,3.376412
CFS-PARCEL-0149757366,149757366,55182677280000,MDR,RESIDENTIAL,MDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.270624
CFS-PARCEL-0149758892,149758892,55194220690000,MDR,RESIDENTIAL,MDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.649202
CFS-PARCEL-0149764267,149764267,55289717220000,LDR,RESIDENTIAL,LDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.548555
CFS-PARCEL-0149776104,149776104,55494834120000,LDR,RESIDENTIAL,LDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.417033
CFS-PARCEL-0149777450,149777450,55542016180000,HDR,RESIDENTIAL,HDR,1,8e-06,8e-06,low,False,single_zone_low_confidence,review,0.174483
CFS-PARCEL-0149786607,149786607,55643908910000,AO,AGRICULTURAL,AO,1,8e-06,8e-06,low,False,single_zone_low_confidence,trusted,0.25017
CFS-PARCEL-0149735012,149735012,46804128140000,LDR,RESIDENTIAL,LDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,trusted,0.40818
CFS-PARCEL-0149750695,149750695,55088246560000,MDR,RESIDENTIAL,MDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,trusted,0.235157
CFS-PARCEL-0149754007,149754007,55164547530000,LDR,RESIDENTIAL,LDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,review,0.162125
CFS-PARCEL-0149754008,149754008,55164547530000,LDR,RESIDENTIAL,LDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,review,0.162125
CFS-PARCEL-0149756008,149756008,55180536250000,MDR,RESIDENTIAL,MDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,trusted,0.382607
CFS-PARCEL-0149765156,149765156,55288783240000,LDR,RESIDENTIAL,LDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,trusted,0.899586
CFS-PARCEL-0149766778,149766778,55340780470000,CR,RESIDENTIAL,CR,1,9e-06,9e-06,low,False,single_zone_low_confidence,review,0.302378
CFS-PARCEL-0149766795,149766795,55343290950000,CR,RESIDENTIAL,CR,1,9e-06,9e-06,low,False,single_zone_low_confidence,review,2.835443
CFS-PARCEL-0149774467,149774467,55454540460000,LDR,RESIDENTIAL,LDR,1,9e-06,9e-06,low,False,single_zone_low_confidence,review,0.987799
CFS-PARCEL-0149732812,149732812,46728103540000,CR,RESIDENTIAL,CR,1,1e-05,1e-05,low,False,single_zone_low_confidence,trusted,5.878445
CFS-PARCEL-0149753019,149753019,55160824760000,LDR,RESIDENTIAL,LDR,1,1e-05,1e-05,low,False,single_zone_low_confidence,trusted,0.474797
CFS-PARCEL-0149764518,149764518,55289677230000,LDR,RESIDENTIAL,LDR,1,1e-05,1e-05,low,False,single_zone_low_confidence,trusted,0.855243
CFS-PARCEL-0149765199,149765199,55289648320000,LDR,RESIDENTIAL,LDR,1,1e-05,1e-05,low,False,single_zone_low_confidence,trusted,0.775911
CFS-PARCEL-0149766936,149766936,55348289360000,CR,RESIDENTIAL,CR,1,1e-05,1e-05,low,False,single_zone_low_confidence,trusted,6.731486
CFS-PARCEL-0149780273,149780273,55762514690000,AO,AGRICULTURAL,AO,1,1e-05,1e-05,low,False,single_zone_low_confidence,trusted,0.159326
CFS-PARCEL-0149763531,149763531,55288761360000,LDR,RESIDENTIAL,LDR,1,1.1e-05,1.1e-05,low,False,single_zone_low_confidence,trusted,0.427812
CFS-PARCEL-0149774463,149774463,55454439450000,LDR,RESIDENTIAL,LDR,1,1.1e-05,1.1e-05,low,False,single_zone_low_confidence,review,1.847225
CFS-PARCEL-0149778860,149778860,55643918480000,AO,AGRICULTURAL,AO,1,1.1e-05,1.1e-05,low,False,single_zone_low_confidence,trusted,0.250042
