official_parcel_id,objectid_1,pin14,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,governance_warning_categories,permit_count,first_permit_date,latest_permit_date,permit_type_count,total_permit_amount,co_date_future_outlier_count
CFS-PARCEL-0149726988,149726988,45895589380000,trusted,luxury,residential_standard,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],10,2006-11-01,2021-05-26,3,150100.0,0
CFS-PARCEL-0149786775,149786775,56031282460000,review,ultra_high,estate,Kannapolis,GC,commercial,high,['review_sliver_overlap'],10,2009-04-01,2020-06-02,2,7800.0,0
CFS-PARCEL-0149786776,149786776,56031282460000,review,ultra_high,estate,Kannapolis,GC,commercial,high,['review_sliver_overlap'],10,2009-04-01,2020-06-02,2,7800.0,0
CFS-PARCEL-0149786777,149786777,56031282460000,review,ultra_high,estate,Kannapolis,GC,commercial,high,['review_sliver_overlap'],10,2009-04-01,2020-06-02,2,7800.0,0
CFS-PARCEL-0149784209,149784209,56011782070000,review,ultra_high,commercial_large,Kannapolis,LI,industrial,low,['review_low_confidence'],10,2017-01-20,2019-11-26,3,4801850.0,0
CFS-PARCEL-0149784210,149784210,56011782070000,review,ultra_high,commercial_large,Kannapolis,LI,industrial,low,['review_low_confidence'],10,2017-01-20,2019-11-26,3,4801850.0,0
CFS-PARCEL-0149784266,149784266,56011782070000,review,ultra_high,commercial_large,Kannapolis,LI,industrial,low,['review_low_confidence'],10,2017-01-20,2019-11-26,3,4801850.0,0
CFS-PARCEL-0149746526,149746526,55063286730000,review,luxury,estate,Harrisburg,OI,office,high,"['review_multi_jurisdiction', 'review_sliver_overlap']",10,2012-10-08,2018-01-23,3,1782264.0,0
CFS-PARCEL-0149824677,149824677,56609504400000,review,luxury,estate,Mt. Pleasant,CZ-RH,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2015-09-25,2016-09-26,4,3498495.0,0
CFS-PARCEL-0149812046,149812046,56225739990000,trusted,luxury,residential_standard,Kannapolis,GC,commercial,high,['safe_for_dashboard'],10,2015-05-12,2016-08-22,4,1430984.0,0
CFS-PARCEL-0149812830,149812830,56232431600000,trusted,luxury,commercial_large,Kannapolis,R18,residential,high,['review_sliver_overlap'],10,2011-11-02,2012-05-23,2,,0
CFS-PARCEL-0149807214,149807214,56212074070000,trusted,medium,residential_standard,Concord,RC,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",9,2023-05-11,2025-10-30,3,1214550.0,0
CFS-PARCEL-0149808497,149808497,56213801090001,review,ultra_high,residential_standard,Concord,PID,unknown,high,['jurisdiction_code_semantics_review'],9,2004-10-01,2025-09-23,3,2244569.0,0
CFS-PARCEL-0149733353,149733353,46735613280000,trusted,ultra_high,commercial_large,Kannapolis,CD,unknown,high,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",9,2016-09-09,2025-09-16,5,3122000.0,0
CFS-PARCEL-0149811733,149811733,56201115750000,trusted,ultra_high,commercial_large,Concord,O-I,unknown,low,"['review_low_confidence', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",9,2008-08-01,2025-09-15,3,249918.0,0
CFS-PARCEL-0149801077,149801077,56118390090000,review,luxury,estate,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",9,2007-10-01,2025-09-12,4,167600.0,0
