subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
#647 FISHER ST,3,1.19,0,0.3974
0.585 AC-LOVE STREET SW,3,0.59,0,0.1966
0.779AC-WILSHIRE AVE SW,3,0.78,0,0.2586
0.948 AC - SIMPSON DRIVE,3,1.03,0,0.3417
0.988 AC - SPRING ST SW,3,0.99,0,0.3309
1.047 AC - HARTMAN PLACE NW,3,1.05,0,0.3491
1.252 AC - OLD SPEEDWAY DRIVE NW,3,1.19,0,0.3978
1.300 AC - LENMORE DRIVE SE,3,1.21,0,0.4043
1.33 AC PARCEL AT 40 SUNDERLAND ROAD SW,3,1.33,0,0.4438
100 JOHNSON ST SW,3,1.33,0,0.4424
110 WAYNE AVE,3,0.66,0,0.2207
121 WHITE STREET NW,3,0.41,0,0.1354
130 ARIZONA PL NW,3,0.59,0,0.1959
130 CYPRESS ST SW,3,0.52,0,0.1746
141 WILSHIRE AVE SW,3,0.62,0,0.2077
144 ROBBINS ST SW,3,0.46,0,0.1519
149 & 153 WHITE ST NW,3,0.6,0,0.2012
160 BROOKWOOD AVE NE,3,0.37,0,0.1247
1604 SHEPARD ST,3,1.18,0,0.3936
1625 GOLD HILL RD,3,5.77,0,1.9223
2.297 AC - EVA DRIVE NW,3,2.26,0,0.7545
2.306 AC - LOMBARDI STREET,3,1.74,0,0.5797
2.68 ACRES ON KRIMMINGER,3,1.72,0,0.5746
2.865AC - INDEPENDENCE SQ,3,2.85,0,0.9514
208-214 ACADEMY AVE NW & 213-215 ODELL DR NW,3,0.47,0,0.1578
2102 INDEPENDENCE SQ,3,2.02,0,0.6739
212 PARKWAY AVE NW,3,1.08,0,0.3591
212 SHANNON DR SW,3,0.34,0,0.1141
213/215 COGGINS ST,3,0.69,0,0.2288
220 & 222 GREEN DRIVE SW,3,0.9,0,0.2996
2306 KANNAPOLIS HWY,3,0.26,0,0.0861
2590 LYLA AVE,3,9.87,0,3.2894
26.890 AC - NC HWY 49 & N MAIN STREET,3,60.05,0,20.0174
27.008 AC - BURRAGE ROAD,3,26.95,0,8.9828
2701 POPLAR TENT ROAD,3,1.49,0,0.4981
272 MALVERN DR SW,3,0.26,0,0.0856
277 STEWART STREET NW,3,1.75,0,0.5848
2850 S RIDGE AVE,3,1.74,0,0.581
"2A CK LAKEPOINTE CORP CENTER, LLC",3,43.43,0,14.4761
3 TRACTS GROFF ST NW,3,1.88,0,0.6257
309 RUTH AVENUE,3,0.89,0,0.2966
320-336 CABARRUS AVE W,3,0.72,0,0.2392
3312 EVA DRIVE NW,3,1.02,0,0.3409
333 ELM AVE NW & 326 ODELL DR NW,3,0.61,0,0.2045
3426 CAMP JULIA RD,3,0.78,0,0.2606
3874 & 3856 SARAH DR,3,0.6,0,0.1991
3RD DIV CLINE INVESTMENT CO,3,0.81,0,0.2715
400 & 404 WALKER STREET,3,1.23,0,0.4095
4025 NC HIGHWAY 49,3,6.19,0,2.0619
4075 NC HIGHWAY 49,3,4.32,0,1.4399
4120 ORPHANAGE RD,3,3.28,0,1.0947
4120 TRINITY CHURCH RD,3,6.58,0,2.1949
417 PEIGLER ST NW,3,2.05,0,0.6836
4400 & 4412 REPUBLIC DRIVE REVISED,3,9.94,0,3.3132
497 SPLICEWOOD DR SW,3,0.79,0,0.2645
5101 GRAND CANYON RD NW,3,0.62,0,0.2074
5305 GRAND CANYON RD NW,3,0.56,0,0.1878
5351 MONTANA CIR NW,3,0.56,0,0.1881
545 PEIGLER ST,3,1.12,0,0.375
6.363 AC NC HWY 24/27,3,6.31,0,2.104
601 PEIGLER ST NW,3,2.03,0,0.6762
636 CENTRAL DRIVE,3,0.31,0,0.1041
6625 HUDSPETH RD,3,1.27,0,0.4221
713 IRENE AVE,3,0.41,0,0.1373
717 MARGATE AVE,3,0.38,0,0.1258
816 EVERGREEN AVE,3,0.68,0,0.2259
86 UNION STREET SOUTH,3,1.62,0,0.5397
9015 REID ST,3,0.6,0,0.201
905 OAKWOOD AVENUE,3,0.34,0,0.1132
92 PEACHTREE AVENUE NW,3,0.44,0,0.1482
920 VICTORIA AVE,3,0.92,0,0.3061
921 S WALNUT ST,3,0.43,0,0.1425
955 N MAIN ST,3,4.07,0,1.3568
A B BLACKWELDER PROP,3,7.63,0,2.5447
A J BLACKWELDER,3,0.26,0,0.0874
ABERNETHY FAMILY HOLDINGS LLC,3,27.46,0,9.152
AFTON VILLAGE CARRIAGE HOUSE DUPLEX,3,0.18,0,0.0598
AFTON VILLAGE PHASE 4B UNITS 1-3 OF PARCEL 33,3,0.2,0,0.067
ALL GOODNESS ENTERPRISE,3,0.69,0,0.2297
ALL GOODNESS ENTERPRISES LLC,3,0.73,0,0.2431
ALMA M STEELE,3,0.5,0,0.1664
AMerican Elite Homes Property,3,1.48,0,0.4944
ANDREW MATTHEWS,3,1.04,0,0.3478
ANNA ROGERS,3,0.92,0,0.3063
ARLINGTON AVENUE SE (REVISED),3,1.05,0,0.3486
AURORA HIGHLANDS,3,0.37,0,0.1238
B.L. UMBERGER,3,1.08,0,0.3613
B.L. Umberger Estate,3,1.95,0,0.6508
BARNHARDT,3,1.09,0,0.3623
"BEVERLY HINSON & JERRY NEAL, SR.",3,0.81,0,0.2701
BILLY & DELORES WATT,3,1.44,0,0.4807
BLK B LAURINGOOD PARK,3,0.65,0,0.2151
BOBBY DEAN FISHER PROPERTY,3,1.13,0,0.3772
BOOTSMEAD LEASECO LLC,3,15.77,0,5.2569
BOWSER ESTATES REVISED,3,6.8,0,2.2673
BPH Property,3,0.65,0,0.2167
BROADUS BAPTIST CHURCH,3,6.46,0,2.1525
BROOKEDALE COMMONS PH 1 M 2 RECOMBINATION,3,0.68,0,0.227
BROOKEDALE COMMONS PH 2 M 1,3,0.72,0,0.2409
BROOKS PROPERTY,3,12.04,0,4.0148
BROOKWOOD AVE NE TOWNHOMES,3,0.55,0,0.1828
BROWN FARM SUBD.,3,0.53,0,0.1765
BRYAN COOK PROPERTY,3,0.54,0,0.1793
BUCKHORN SUBDIVISION,3,4.62,0,1.5406
BUILD 4 VALUE/ORION,3,0.54,0,0.1786
BURGIN STREET,3,2.66,0,0.8881
BURRAGE ROAD 5.364 AC,3,5.04,0,1.6791
C M BOST ESTATE,3,2.76,0,0.9189
C M THOMAS ESTATE,3,1.05,0,0.3493
C R GOODNIGHT,3,0.56,0,0.1851
C4 CSTORE HOLDINGS II & C4 CSTORE RESIDUAL LAND,3,2.62,0,0.872
CALDWELL CROSSING,3,11.05,0,3.6848
CAP5 REALTY,3,0.86,0,0.2862
CARL B POUNDS,3,0.77,0,0.2556
CAROLINA SUPERIOR BUILDERS,3,0.63,0,0.2106
Cartersville Recomb.,3,0.64,0,0.214
CATCHPOLE LLC,3,2.0,0,0.6668
CEDAR ROSE,3,2.55,0,0.85
CENTER AT KINGS GRANT,3,8.8,0,2.9321
CHARITY BAPTIST MINISTRIES,3,3.56,0,1.1862
CHELSIA PARK,3,2.32,0,0.7727
CHRISTENBURY CHASE,3,0.48,0,0.1591
CHRISTENBURY CHASE MAP 2 REVISION,3,0.46,0,0.1538
CHRISTENBURY CHASE MAP 3,3,0.49,0,0.165
CHRISTENBURY COMMONS,3,31.12,0,10.3721
CHRISTENBURY CORNERS NE QUADRANT PH 1,3,5.07,0,1.6894
CHRISTENBURY VILLAGE,3,9.76,0,3.254
CHRISTENBURY VILLAGE C PH 1 RECOMB,3,0.16,0,0.0546
CITY OF KANNAPOLIS,3,14.25,0,4.7485
CK BUILDERS INC,3,1.94,0,0.6479
CLEAR VIEW ACRES,3,2.07,0,0.6891
CLINEHEART BLK C,3,0.94,0,0.3135
COBLE FAMILY FARM,3,5.81,0,1.9363
CODDLE CREEK MARKET,3,4.63,0,1.542
"COLONIAL SQUARE-CONCORD, LLC",3,2.85,0,0.9504
COMMON GROUNDS MANAGEMENT,3,0.69,0,0.2285
CONCORD FORTUNE LLC,3,19.24,0,6.4146
CONCORD STATION PHASE II,3,7.27,0,2.4221
CONLEY W MOORE ESTATE,3,0.44,0,0.1464
COPELAND FARM,3,20.58,0,6.8614
COPPERFIELD NORTHEAST,3,4.15,0,1.3832
"CRESCENT RESOURCES, LLC PROPERTY MAP 2",3,155.89,0,51.9632
CROWELL DRIVE SW,3,0.83,0,0.2771
CROWELL DRIVE SW RECOMBINATION,3,0.92,0,0.3062
DANIEL DENNIS CARPENTER & TAMI MOORE CARPENTER,3,61.68,0,20.5596
DANIEL JOSEPH SMITH,3,1.27,0,0.425
"DAVISCO, INC PROPERTY",3,38.61,0,12.8714
DELLWOOD,3,2.15,0,0.7153
DIVISION OF CITY OF CONCORD,3,11.66,0,3.8872
DIVISION OF DAVID EUGENE ISENHOUR & OTHERS PROP..,3,0.57,0,0.1891
DON E. TALBERT PROPERTY,3,0.55,0,0.182
DORIS T GANT,3,14.44,0,4.8148
DOROTHY WIDENHOUSE ESTATE,3,1.04,0,0.3457
E LAKE VIEW,3,0.48,0,0.1607
EDDIE & CONNIE DURHAM,3,1.2,0,0.3985
EDNA E WALKER HEIRS,3,1.84,0,0.6141
ELAINE M RODGERS ESTATE,3,2.62,0,0.8723
ELWOOD Park,3,1.71,0,0.5708
EMBASSY SUITES CONCORD CONVENTION CENTER,3,12.59,0,4.1972
ERVIN INDUSTRIAL PARK,3,28.22,0,9.4052
ETHAN & DORIS TUCKER,3,3.83,0,1.2758
EVAN DEVELOPMENT LLC,3,5.17,0,1.7242
EVELYN HUNEYCUTT SMITH,3,1.78,0,0.5933
EXCEPTION PLAT MARC LOMARTIRE,3,1.21,0,0.4035
EXCEPTION PLAT OF AFTON VILLAGE LOTS 7 AND 8,3,0.19,0,0.0618
F & J ENTERPRISES INC,3,8.58,0,2.8593
FAMILY OF FAITH LUTHERAN CHURCH,3,11.48,0,3.8264
FARM AT RIVERPOINTE PH 1B MAP 1,3,2.39,0,0.7953
FARMINGTON PH1 MAP 3 REVISED,3,1.01,0,0.3351
FERGUSON,3,0.79,0,0.2636
FOY FISHER,3,1.4,0,0.4679
FRAnklin Heights,3,1.04,0,0.3459
FUNCO INC,3,33.08,0,11.0263
FUT MAIN ST & BROADWAY BLVD TOWN OF MIDLAND,3,4.27,0,1.4219
FUTURE  PHASE SADDLEBROOK,3,12.12,0,4.04
G.P. CRANFORD,3,2.58,0,0.8614
GADDIS BROS PROPERTY HOLDINGS WOODSDALE,3,0.59,0,0.1962
"Gary W. Laton, LLC",3,0.5,0,0.1667
GEORGE I SHINN PROPERTY,3,0.5,0,0.1673
GLEN AFTON SHOPS,3,3.72,0,1.2402
GLENDA WATTS QUERY,3,1.76,0,0.5864
GLENGROVE PH 2 PH1,3,0.73,0,0.242
GZL PROPERTIES LLC,3,0.94,0,0.3121
HAAS 300K SPEC BUILDING,3,29.83,0,9.9423
HALLSTEAD,3,3.27,0,1.0909
HANNAH BARNHARDT,3,8.97,0,2.9895
HARRISBURG PARK REVISED,3,1.44,0,0.4804
HARVEY B ROGERS,3,1.24,0,0.4139
HASSELL RAY WARREN,3,3.18,0,1.0597
HAWTHORNE AT THE GLEN,3,21.88,0,7.2936
HAWTHORNE PH 1 M3,3,1.41,0,0.4691
HIGHLAND ACRES MHP,3,1.72,0,0.5743
HIGHLAND CREEK PH 5,3,4.59,0,1.5291
Hillcrest,3,1.56,0,0.5195
HILTON,3,0.66,0,0.2188
HOLCOMB WOODS FUTURE DEVELOPMENT,3,20.63,0,6.8763
HUNTER'S POINTE REVISED,3,1.78,0,0.5944
HUNTON FOREST (REV),3,0.54,0,0.1799
HWY 73 LINDER INDUSTRIAL MACHINERY,3,52.04,0,17.3483
INTERNATIONAL BUS PK LOT 1 PHASE 2 MAP 1,3,28.06,0,9.3549
J E LITTLEFIELD PROPERTY,3,0.92,0,0.3059
J L C ASSOCIATES,3,0.67,0,0.222
J LUTHER JONES,3,1.13,0,0.3753
JACKSON PARK BLK B,3,0.84,0,0.2805
JADE BUILDERS LLC PROPERTY,3,0.56,0,0.1868
James P. Roseman,3,0.91,0,0.3027
JENNINGS JOHN BURCHFIELD,3,1.44,0,0.4813
JENNY G MYERS,3,0.65,0,0.2166
JEREHMY WARNER & WENDY WARNER,3,15.56,0,5.1879
"Joe Stamper Plott, Jr.",3,2.07,0,0.6902
JOHN I & ALICE G LONG ESTATE,3,13.6,0,4.5319
JOHNNIE R GUINN S/D LOT 2,3,0.57,0,0.1897
JOSE RODOLFO ESPARZA & ALEJANDRA DIAZ ZAMBRANO,3,5.62,0,1.8729
JOURNEY INVESTMENT GROUP,3,0.66,0,0.2213
Kannapolis Gateway Business Park,3,5.89,0,1.9627
KANNAPOLIS SW SEC 2,3,1.06,0,0.3541
KEBL LLC FISHER ST,3,1.21,0,0.4028
KEVIN LEE FISHER,3,0.77,0,0.2572
LAKE CONCORD PROFESSIONAL BUILDING,3,0.16,0,0.0536
LANCE FOSTER FURR PROPERTY,3,0.63,0,0.2094
LANDS OF RONALD M PAGE,3,7.82,0,2.6068
LEGACY POINTE CONCORD,3,8.51,0,2.8369
LINNVILLE BLOCK B,3,0.39,0,0.13
LOIS W SMTIH TRACT,3,34.11,0,11.3696
LOT 2B - ROBERTA CROSSING,3,0.84,0,0.2797
LT 3 BLK D UMBERGER,3,0.41,0,0.1379
LTS 20-24 JG LOWE PROPERTY BLK A,3,0.48,0,0.1591
M L WIDENHOUSE,3,1.74,0,0.5793
MABLE FURR FALK,3,0.62,0,0.2081
MAE FRANKIE HOWELL ROLLINS ESTATE,3,2.19,0,0.7307
MAGNOLIA CROSSING RECOMB,3,0.47,0,0.1562
"MANCHESTER PLACE, Ph 2, Map 6",3,1.11,0,0.3715
"MANCHESTER PLACE,Ph 2, Map 6",3,0.62,0,0.2069
MARANATHA VILLAGE,3,0.68,0,0.2258
MARGARET B TUCKER HEIRS,3,7.87,0,2.6239
Mark and Erin Marco,3,4.93,0,1.6423
MARSHALL POPLIN,3,23.52,0,7.8404
MILLER LUMBER COMPANY,3,8.04,0,2.6796
MINOR SUBDIVISION OF JACKSON PARK,3,0.98,0,0.3281
Mission Hills  Ph3,3,0.99,0,0.3299
MONTFORD DR VILLAS,3,0.91,0,0.3029
MORRIS PARK,3,2.17,0,0.7229
Mt. Olivet Addition,3,0.56,0,0.1856
MULTI-TECH LLC,3,0.59,0,0.1958
N LITTLE TEXAS RD,3,0.9,0,0.2993
NASTHIA BARRIONUEVO & ANDRES CABRERA PROPERTY,3,30.3,0,10.1012
NC RESEARCH CAMPUS,3,6.63,0,2.2103
NIBLOCK DEVELOPMENT CORP. ON BERWICK COURT,3,1.28,0,0.4281
NORTH CAROLINA RAILROAD COMPANY,3,74.04,0,24.6784
NORTH LITTLE TEXAS RD,3,0.71,0,0.2368
NORTHGATE ESTATES,3,3.58,0,1.1939
OAK AVENUE MALL,3,0.69,0,0.2285
OUT PARCEL #1 - WAL-MART PARCEL,3,2.14,0,0.7124
OVERCASH REAL ESTATE,3,0.53,0,0.1782
P/O 55275386280000 ROCKY RIVER PROJECT LLC,3,9.5,0,3.1678
PARK VIEW ESTATES PH3 MP3,3,4.89,0,1.629
PARK VIEW ESTATES PH3 MP4,3,1.23,0,0.4091
PATEL-BULSARA,3,7.48,0,2.4921
PAUL ALEXANDER GIBSON,3,0.86,0,0.2853
PAUL EUGENE THREATT JR,3,3.21,0,1.071
PAUL R FAGGART PROPERTY,3,2.06,0,0.687
PINTO HOLDINGS LLC,3,7.67,0,2.557
PLAT 1480 B STREET,3,1.01,0,0.3375
PLAT FOR 119 WEST G ST,3,0.21,0,0.0712
PLAT LT #2 1410 AZALEA AVE,3,0.75,0,0.2503
PLAT LTS 216-223,3,0.67,0,0.2239
PLAT OF 1209 MASON STREET,3,0.99,0,0.3288
PLAT OF DUE WEST ST,3,0.19,0,0.063
PLAT OF LOT #3 RANKIN ST,3,0.58,0,0.1925
POPLAR CROSSING LTS 6 & 7 RECOMBINATION,3,4.15,0,1.3847
PROPERTY OF IRVAN-SMITH PROPERTIES,3,4.77,0,1.5906
"PROPERTY OWNED BY J. MERRIT WHITE, III",3,3.14,0,1.0475
PROPERTY PRINCES TRACT ON MONTFORD AVE,3,5.8,0,1.9341
PROVIDENCE PROPERTIES,3,10.19,0,3.3951
QUEEN CITY BUILDING INVESTMENTS LLC,3,0.27,0,0.0912
R C LITAKER FARM,3,2.42,0,0.8074
RECOMB CITY OF KANNAPOLIS,3,0.74,0,0.2463
RECOMB HARRISBURG LIONS CLUB,3,2.12,0,0.7058
RECOMB LTS 23-24 PHIFER PARK,3,0.73,0,0.2435
RECOMB PLAT FOR 213 HENDERSON CIR,3,1.37,0,0.4583
RECOMB PLAT FOR JRN INC,3,3.35,0,1.1175
RECOMB W F WINECOFF EST,3,1.16,0,0.3883
RECOMBINATION FOR WAYNE & CORINNE HARRIS,3,4.81,0,1.6026
RECOMBINATION OF TWO CROSS TRACTS,3,1.09,0,0.363
RECOMBINATION PLAT FOR 11515 & 11565 BEAGLE STREET,3,6.82,0,2.2739
RECOMBINATION SURVEY FOR CABARRUS COUNTY,3,8.18,0,2.7277
RED APPLE/KINGS WAY BAPTIST,3,28.18,0,9.392
RENE SHUFORD,3,0.73,0,0.2425
REV EDGERSON HEIGHTS,3,1.65,0,0.5493
REYNOLDS MHP,3,40.35,0,13.4503
ROBERT BARRIE RIDENHOUR JR,3,0.51,0,0.1707
ROBERT EUGENE FURR & JUDY MAE FURR,3,1.89,0,0.6305
ROGER NEWTON,3,0.53,0,0.1757
RONALD R & DONNA L LOCATIS,3,59.09,0,19.6976
RUSSELL LEE HALL,3,0.65,0,0.2165
SARAH DRIVE,3,0.64,0,0.2146
SETTLERS RIDGE PHI,3,1.0,0,0.3321
SHADY LANE AVE EXT,3,1.88,0,0.6257
SHADYBROOK ADD. BLK D,3,0.63,0,0.2111
SHEFFIELD SUBDIVISION,3,2.15,0,0.7178
SHELBY BROTHERS & HC LANDLORD,3,1.43,0,0.4767
SILVER HILL COTTAGES,3,1.33,0,0.444
SPEEDRAIL IND PARK,3,31.01,0,10.3375
ST MARY AVE NW,3,0.6,0,0.2016
Stonebridge PH 11E,3,0.12,0,0.0394
SUBDIV SURVEY FOR M KIRK HANSON,3,0.87,0,0.2913
SURVEY FOR THREE GADDIS BROS PROPERTY,3,0.45,0,0.1493
SURVEY OF 3 LTS MCDONALD HOMES,3,0.71,0,0.2361
SWINK STREET,3,0.52,0,0.1736
SYCAMORE RIDGE PH IV,3,3.08,0,1.0283
TERESA K LONG PROPERTY,3,1.04,0,0.3469
THE CITY OF CONCORD,3,0.39,0,0.1287
THE FARM AT RIVERPOINTE PH 4A MAP1 REVISED,3,0.43,0,0.1432
THE FARM AT RIVERPOINTE PH 4B MAP 3,3,0.59,0,0.1965
THE HILLS,3,1.22,0,0.4067
THE MILLS AT ROCKY RIVER,3,1.49,0,0.496
THE MILLS PH 1 MP 9,3,0.92,0,0.3079
THE PRESERVE AT Coldwater Creek,3,15.96,0,5.3197
THE ROSETTA BANGLE PETREA ESTATE,3,0.89,0,0.297
THE VILLAGE AT Kellswater Bridge of Ph 1B Map 5,3,0.46,0,0.1526
THE VILLAGE AT Kellswater Bridge OF Ph 1B Map 5,3,0.43,0,0.1421
THELMA R. GRAHAM,3,6.03,0,2.0108
THomas Harold Johnson,3,0.91,0,0.3046
THROWBACK PROPERTIES LLC,3,0.77,0,0.256
TOWN OF MT PLEASANT,3,10.74,0,3.5815
TOWN SQUARE PROPERTIES II,3,1.12,0,0.3742
TRINITY CH/NIBLOCK,3,3.67,0,1.2236
Umberger Estate,3,1.71,0,0.5688
VALENCIA PROPERTY ON OAKWOOD AVE,3,1.44,0,0.481
VILAMONT HEIGHTS BLK F,3,0.63,0,0.2112
VISTA PLACE N.W.,3,1.8,0,0.6006
W F WINECOFF ESTATE,3,1.63,0,0.5432
W H BLUE ESTATE,3,0.62,0,0.2053
WADSWORTH ADDITION,3,1.76,0,0.5875
WATERFORD ON THE ROCKY RIVER PH 2A MAP 4,3,0.91,0,0.3036
WEDDINGTON ROAD,3,49.98,0,16.6605
WELLINGTON CHASE PH 2 & 3 COS,3,7.81,0,2.6043
WEST CONCORD BLK K,3,1.52,0,0.5052
WEST OAKS PH 2,3,0.78,0,0.2588
WIL MAR PARK,3,1.29,0,0.4293
WILDWOOD RIDGE PH 1 MAP1,3,0.67,0,0.2243
WILkinson Prop.,3,0.48,0,0.1604
WILLIAM L COLEMAN JR SUBDIVISION,3,5.28,0,1.7595
WINCHESTER BUILDING CONDO,3,0.06,0,0.0198
WINDING WALK PHASE 1 MAP 1,3,0.8,0,0.2681
YATES MEADOW S/D P/O PH 3 & P/O PH 5 REV,3,0.95,0,0.3165
# 108 ROBBINS STREET SW,2,0.36,0,0.1782
# 215 PARKWOOD DR NW,2,0.39,0,0.1927
#102 BRYAN ST,2,1.06,0,0.5277
#106 ELWOOD ST,2,0.49,0,0.2454
#142 BEAUMONT AVE,2,0.39,0,0.1958
#340 CONCORD PARKWAY,2,0.77,0,0.3836
#47 BARBEE ROAD,2,0.81,0,0.407
#51 PORTER ST,2,0.31,0,0.1531
#51 PORTER STREET,2,0.54,0,0.2694
#62 EDEN STREET NW,2,0.4,0,0.1998
#627 FOXWOOD DRIVE SE,2,0.83,0,0.4172
0,2,0.52,0,0.2593
0.249 AC - ACADEMY AVENUE NW,2,0.25,0,0.1247
0.388 AC BUFFALO AVENUE NW,2,0.37,0,0.1831
0.458 AC - ACADEMY AVENUE NW,2,0.23,0,0.1149
0.497 AC - MCKINNON AVENUE NE,2,0.47,0,0.2363
0.518 AC - S COLLEGE ST,2,0.47,0,0.2349
0.555 AC CENTRAL DRIVE NW,2,0.56,0,0.2778
0.615 AC - BROWDIS AVE,2,0.62,0,0.3114
0.632 AC-UNION STREET,2,0.63,0,0.317
0.642 AC - GREEN STREET SW,2,0.58,0,0.2897
0.658 AC - SOUTH CIRCLE NW,2,0.65,0,0.327
0.766 AC - S HALIFAX STREET,2,0.77,0,0.3833
0.797 AC - MONTFORD AVENUE NW,2,0.83,0,0.4133
0.798 AC - CORBAN AVENUE,2,0.79,0,0.3935
0.818 AC - MARYLAND AVENUE,2,0.82,0,0.4117
0.868 AC - 172/174 CORBAN AVENUE SE,2,0.87,0,0.4327
0.929 AC HAHN PLACE SE,2,0.92,0,0.4579
0.950 AC - RICH PLACE NE,2,0.94,0,0.4683
0.971 AC SUNDERLAND RD SW,2,0.97,0,0.4855
0.979 AC-MCKINNON AVENUE,2,0.99,0,0.4939
1 HICKORY ST SW,2,0.42,0,0.2101
1.141 AC - KANN HWY,2,1.14,0,0.5708
1.245 AC - CENTRAL DR NW,2,1.21,0,0.6074
1.379 AC - PAGE ST,2,1.37,0,0.6844
1.999 AC-MCCOPPIN COURT NE,2,2.47,0,1.2375
10.109 AC DALE EARNHARDT BLVD,2,9.96,0,4.9821
1000 BUICK AVENUE,2,0.25,0,0.1255
1014 HOKE ST,2,0.35,0,0.1745
1016 KANSAS STREET,2,0.51,0,0.2553
102 SWINK ST,2,0.46,0,0.2318
103 SPRINGWAY DRIVE,2,0.65,0,0.3274
11 POWDER STREET N.W.,2,0.16,0,0.0778
1105 & 1107 GROVE ST,2,0.72,0,0.3603
111 TRIECE ST,2,2.76,0,1.3817
1118 THOMAS AVENUE,2,0.51,0,0.2536
1161 SUNSET DRIVE,2,0.48,0,0.2404
1210 LOMBARDI ST (REV),2,0.35,0,0.174
1211 UNION STREET SOUTH,2,2.74,0,1.3702
1214 BETHPAGE RD,2,1.71,0,0.8569
125 & 127 CHESTNUT DR SW,2,0.3,0,0.1477
126 TODD AVENUE NW,2,0.36,0,0.178
129 WAYNE AVENUE,2,0.44,0,0.2199
13 POWDER STREET N.W.,2,0.13,0,0.0657
130 SPRINGWAY DR,2,0.77,0,0.387
1302 MASON ST,2,0.24,0,0.1217
132 WAYNE AVENUE LLC,2,0.33,0,0.1666
1395 MARTIN LUTHER KING JR AVE,2,0.61,0,0.3026
1401 MASON ST,2,0.64,0,0.3225
141 MADISON AVE,2,1.19,0,0.5973
1411 & 1415 OAKSHADE,2,0.5,0,0.2524
1418 ONTARIO DR,2,0.35,0,0.1731
1458 & 1504 CAROMAR PLACE NW,2,1.52,0,0.7587
147 OAKDALE AVE SW,2,0.43,0,0.2126
149 CROWELL DR LT3,2,0.15,0,0.0756
1525 LANE ST,2,0.58,0,0.2917
1611 CARLTON STREET,2,0.81,0,0.405
165 EMERY AVE N W,2,0.47,0,0.2329
180 KRIMMINGER AVE,2,0.6,0,0.2976
1803 JENNIE LINN ST,2,0.68,0,0.3401
184 & 192 HOOVER AVE NE,2,0.42,0,0.2094
19 TODD DR,2,0.48,0,0.2389
198 FRANKLIN AVENUE NW,2,0.46,0,0.2294
2.213AC US HWY 601 & ZION CH RD,2,2.19,0,1.095
2.594 AC BROOK GREEN PL NW,2,2.56,0,1.28
2008 PENNSYLVANIA AVE,2,0.43,0,0.2161
218 ARIZONA PL,2,0.64,0,0.3201
225 KERR STREET NW,2,0.16,0,0.0789
23 LAKEWOOD CT NW,2,0.44,0,0.2183
231 POUNDS AVE,2,2.64,0,1.3179
232 JAMES ST,2,0.5,0,0.2521
2350 BARNHARDT AVE NW,2,1.44,0,0.7225
239 BROOKWOOD AVENUE NW,2,0.3,0,0.152
2416 CEDAR HILL DRIVE,2,0.69,0,0.3432
2513 HAVEN ST,2,0.8,0,0.3978
253 DAVIDSON HWY,2,0.51,0,0.2555
255 KRIMMINGER AVE SE,2,0.74,0,0.3703
255 PATTERSON AVE,2,0.27,0,0.1368
256 BELLHAVEN PL NW,2,0.69,0,0.3462
257 BELLHAVEN PL NW,2,1.15,0,0.5745
265 PATTERSON AVE,2,0.29,0,0.146
273 PATTERSON AVE,2,0.29,0,0.1456
28 WILLOWBROOK DR NW,2,0.31,0,0.1562
2801 PENNSYLVANIA AVE,2,0.31,0,0.1544
2814 S RIDGE,2,0.7,0,0.3486
3 MILLS AVE,2,0.48,0,0.2378
30' DEDICATED PUBLIC R/W OF GAMBLE MCCLURE LANE,2,2.08,0,1.0423
302 SYCAMORE AVE SW,2,0.2,0,0.1
303 WALKER ST,2,0.57,0,0.2872
310 & 312 GURLEY DR NW,2,0.36,0,0.1791
320 RUTH AVENUE,2,0.52,0,0.2616
323 & 325 WINDY RUSH RD,2,1.97,0,0.9829
328 HAMILTON DR NE,2,0.68,0,0.3421
3300 WESTRIDGE LANE,2,0.94,0,0.4714
333 GURLEY DR NW PB 87-90,2,0.42,0,0.21
334 GURLEY STREET,2,0.38,0,0.1899
"3364, 3366, & 3368 ROBERTA ROAD",2,1.77,0,0.8858
355 CAMDEN CT NW,2,0.14,0,0.0716
3852 & 3860 ROCK HILL CHURCH RD,2,0.78,0,0.3894
3854 POPLAR TENT ROAD,2,3.09,0,1.5472
39 OLD AIRPORT ROAD,2,1.78,0,0.8896
3948 TRINITY CHURCH RD,2,3.41,0,1.7034
403 & 405 GAY STREET,2,0.54,0,0.2689
409 GROFF ST NW,2,0.98,0,0.4918
4109 PEBBLEBROOK CIRCLE SW,2,1.4,0,0.7024
4115 PEBBLEBROOK CIRCLE SW,2,1.36,0,0.682
412/418 COACH ST,2,0.43,0,0.2141
420 WEST AVENUE,2,0.22,0,0.1092
429 OLD SPEEDWAY DR,2,1.63,0,0.8159
44 SHERWOOD CT NW,2,0.35,0,0.175
44 WILLOWBROOK DR,2,0.36,0,0.1818
445 FAITH DR SW,2,0.26,0,0.1287
4575 ISENHOUR RD,2,29.79,0,14.894
476 EDDLEMAN RD,2,2.4,0,1.1992
5.252 AC - TRYON COURT NW,2,5.3,0,2.6477
500 PEIGLER ST NW,2,4.04,0,2.0188
501 EDDLEMAN ROAD,2,3.5,0,1.7513
501 OLD SPEEDWAY DR NW & 496 FISK ST NW,2,2.31,0,1.1567
